name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Jump Slammer Trampoline Basketball Hoop Trampoline Accessories TrampolinePro,5499,Brand New,0,True,181
"Multicolored 4"" Foam Mini Basketball Set Compatible with Nerf Basketball Hoop |",2899,Brand New,0,False,
NERF Nerfoop the Classic Mini Foam Basketball and Hoop Hooks on Doors ,1489,Brand New,0,True,21
"NERF Nerfoop, The Classic Mini Foam Basketball and Hoop - Hooks On Doors, Blue",1398,Brand New,0,False,
New ListingWorld's Smallest Official NERF HOOP NERFoop Basketball/Goal/Net Mini Toy,450,Pre-Owned,450,False,
Nerf Nerfoop – The Classic Mini Foam Basketball and Hoop -- Hooks On Doors --,899,Brand New,799,False,40
Nerf Sport Nerfoop Classic Orange Indoor Basketball Hoop New In Package,1100,Brand New,1575,False,
Nerfoop Basketball Hoop Nerf Sports Jump Shot - Indoor Hoop New Mini FAST SHIP,1300,Brand New,350,True,
NERF NERFOOP The Classic Mini  Basketball and Hoop Hooks On Doors,1000,Brand New,0,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors,1495,Brand New,299,False,
*BRAND NEW NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors,1500,Brand New,0,True,
Nerf Sports Dude Perfect PerfectShot Wall Door Hang Basketball Hoop And Ball,1499,Pre-Owned,999,False,
"3"" Foam Mini Basketball for Nerf Nerfoop Jump Shot Mini Hoop Basketball, 3 Pack",2061,Brand New,0,False,
"3"" Foam Mini Basketball for Nerf Nerfoop Jump Shot Mini Hoop Basketball, 3 Pack ",1199,Brand New,0,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors BLUE NEW,1759,Brand New,890,True,
Nerf Sport Nerfoop Classic Orange Indoor Basketball Hoop New In Package,2800,Brand New,1200,False,
NEW NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors ,1100,Brand New,1267,False,
Nerf Nerfoop - The Classic Mini Foam Basketball and Hoop Qty 2 (Style Vary),1999,Brand New,0,False,
Nerfoop Basketball Hoop Nerf Sports Jump Shot - Indoor Hoop New Mini FAST SHIP,2399,Brand New,199,True,
"Nerf Nerfoop, The Classic Mini Foam Basketball and Hoop, Hooks On Doors",1499,Brand New,0,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors - **NEW**,549,Brand New,2420,False,
Nerf Sport Nerfoop Classic Orange Indoor Basketball Hoop New In Package 2009,3899,Brand New,0,False,
NERF Nerfoop -- the Classic Mini Foam Basketball and Hoop -- Hooks on Doors -- I,1538,Brand New,0,True,
Nerf Sport Nerfoop Classic Orange Indoor Basketball Hoop 2009,1449,Pre-Owned,1260,False,
Nerf Nerfoop - The Classic Mini Foam Basketball and Hoop Toys new,99,Brand New,1000,False,
Nerf Nerfoop The Classic Mini Foam Basketball Hoop Hooks On Doors New,1497,Brand New,0,False,
"Nerf Nerfoop, The Classic Mini Foam Basketball and Hoop, Hooks On Doors",1699,Brand New,0,True,
NEW Nerf Super Soaker water Bash H2O Ball Floating Hoop Basketball Pool Toy,1799,Brand New,1061,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors BLUE NEW,1000,Brand New,1710,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors BLUE NEW,1699,Brand New,0,True,
Nerf Nerfoop - Classic Mini Foam Basketball and Hoop - Brand New - Lot of 2,2977,Brand New,0,False,
World's Smallest Official NERF HOOP NERFoop Basketball/Goal/Net Mini Toy,1150,Brand New,0,True,
2x Nerfoop Basketball Hoop Nerf Sports Jump Shot - Indoor Hoop New Mini ,2799,Brand New,1500,False,
Nerf Sport Nerfoop Classic Orange Indoor Basketball Hoop For Door,2799,Brand New,1575,True,
World's Smallest Official NERF HOOP NERFoop Basketball/Goal/Net Mini Toy,1100,Pre-Owned,0,False,
2000 Nerf Sports Nerfoop Red/Blue Ball - Brand New Over The Door Basketball Hoop,2499,Brand New,1190,False,
Nerfoop - Nerf Basketball Hoop - AO367,1999,Brand New,699,False,
Hasbro Nerf Sports Nerfoop Orange/blue Ball Over The Door Basketball Hoop,1999,Brand New,0,True,
New ListingNerfoop Basketball Hoop Nerf Sports Jump Shot ,721,Brand New,1136,False,
Nerfoop by Nerf Basketball Hoop That Hangs on A Door! ,1999,Brand New,0,False,
NERF Nerfoop the Classic Mini Foam Basketball and Hoop Hooks on Doors ,1000,Brand New,1085,False,
Hasbro Nerf Sports Nerfoop Mini Indoor Basketball Hoop Net - Brand New 2015,1800,Brand New,1115,False,
Nerf Nerfoop  The Classic Mini Foam Basketball and Hoop Hooks On Doors (K),999,Brand New,499,True,
Nerfoop Basketball Hoop Nerf Sports Jump Shot - Indoor Hoop,1495,Brand New,508,False,
NERF NERFOOP - Classic Door Hanging Basketball Hoop - Factory New Green,1799,Brand New,1275,False,
World’s Smallest Classic Mini Toy Blind Box Opened Nerf Nerfhoop Basketball Hoop,600,Pre-Owned,550,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors - **NEW**,1699,Brand New,499,False,
Vintage Nerf Sports Pro Hoop Adjustable Basketball Hoop (1991) Parker Brothers,999,Pre-Owned,998,True,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors,1650,Brand New,0,False,
NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors GREEN NEW,670,Brand New,1270,False,
NEW NERF NERFOOP The Classic Mini Foam Basketball and Hoop Hooks On Doors ,1200,Brand New,1125,False,
VINTAGE NERFOOP NERF HOOP FOAM BASKETBALL GOAL 1990 Parker Bros. New SEALED Rare,8999,Brand New,0,False,
NEW Nerf Super Soaker water Bash H2O Ball Floating Hoop basketball Dunk splash,2079,Brand New,1557,True,
