name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,0
Linodes Patent Easy Strap slip on Tap Shoes for Girls and Boys,1498,Brand New,0,False,0
Black PU Leather M602 Professional Tap Dance Shoe for Women and Men,1189,New (Other),0,False,0
PU Tap Shoe Dance Shoes for Boys and Girls Easy Strap Black Kid Tap Shoes,1199,New (Other),0,False,0
In Stock PU Leather Tap shoes Patent Leather Tap Dance Shoe for Girls and Boys,1199,New (Other),0,False,0
"BeiBestCoat Synthetic Tap Shoes Oxford Dancing Shoes for Men,Adults, Black",3499,Brand New,0,False,0
Linodes Unisex PU Leather Slip On Tap Shoe Dance Shoes for Women and Men's Dance,2099,Brand New,0,False,0
Black PU Leather Lace Up Tap Dance Shoe for Women and Men,1199,New (Other),0,False,0
BLOCH SZ 9 Techno Tap Womens Black Leather Mary Jane Tap Dance Shoes,1999,Pre-Owned,999,False,0
Capezio Jr. Footlight 750 T-Strap Womens Character Dance Shoe +Travel Bag & GIFT,3300,Brand New,0,False,0
Vintage Capezio  Tap Oxford Dance Shoes  White Leather  9 W - NO BOX,3500,Pre-Owned,955,False,0
PU Leather Tap Shoe Dance Shoes for Boys and Girls Easy Strap Black,1099,New (Other),0,False,0
Bella Ballerina dance tap shoes child size 7 NEW,1500,New (Other),500,False,0
Black Patent Leatherr JM601 Professional Tap Dance Shoe for Men and Women,1199,New (Other),0,False,0
Black PU Leather M601 Professional Tap Dance Shoe for Men and Women,1099,New (Other),0,False,0
Tap Shoes PU Leather Lace Up Slip-on Easy Strap Tap Shoe for Girls and Boys ,1099,Brand New,0,False,0
"Capezio Girls Black Patent Leather Tap Dance Shoes Lace Ties, Size 12W ",1000,Pre-Owned,800,False,0
Bloch Women's Black Leather Buckle Mary Jane Tap Dance Shoes Size 6.5,500,Pre-Owned,1620,False,0
Bloch Black Tap Dancing shoes Size 9.5 Women’s Techno Tap,2000,Pre-Owned,1365,False,0
Black PU Leather Professional Lace Up Tap Dance Shoe for Women and Men,1099,New (Other),0,False,0
Capezio Black Tap Dance Shoes 442 Tele Tone Jr. NEW in Box many Sizes,2999,Brand New,1125,False,0
Tan PU Leather M602 Professional Tap Dance Shoe for Women and Men,1089,New (Other),0,False,0
For Sale PU Tap shoes Leather Tan Tap Dance Shoe for Girls and Boys,1089,New (Other),0,False,0
"CLOGGING SHOES, NEW, ALL LEATHER, kids size 1 WHITE SPLIT SOLE WITH BUCK TAPS",8390,Brand New,1050,False,0
ABT American Ballet Theatre Shoes Size 2 Nude Beige Spotlight Dance     A-24,1298,Pre-Owned,598,False,0
"Vintage CAPEZIO TELE.TONE TAP Black Dance Shoes Girls 6.5  M, in Box 1981",1999,Pre-Owned,1346,False,0
Womens Black Mary Jane Dance Class Tap Shoes Buckle Shoes Size 10,2000,New (Other),999,True,0
girls size 10 tap dance shoes black Patten  leather,430,Pre-Owned,455,False,0
Capezio Black Dance Shoes 443B Tip Tap Toe Tele Tone Tap NEW in Box many Sizes,2499,Brand New,1125,False,0
Capezio Black Patton Childs Tele Tone Tap Shoes 10.5M 3800T Dance ,1440,Pre-Owned,799,True,0
Bloch Dance Fitness Shoe Kids Girls Size 6 Lightening Multicolor SO924 MLTX ,1791,Pre-Owned,0,True,0
Laceless Tap Dancing Shoes Women's Size 4A Black,1000,New (Other),901,False,0
Vintage Mario & Continental - HEEL and TOE TAPS For Tap Dancing  Shoes UNUSED,600,Brand New,849,False,0
Girl's Theatricals Black Tap Dance Shoes Size 5.0 Style 9555,2299,Pre-Owned,1315,False,0
Dance Now Girls Black Size 9 M Patent Leather Dance Tap Shoes NWOB,1668,Brand New,0,True,0
Capezio Jr. Tyette 625 White Tap Teen Size 4 Shoes Tie Bow Dance Leather,2500,New (Other),875,True,0
Bloch Girls Tap Dance Shoes Size 7.5 M Black Youth Child Snap Strap Shoes,1895,Pre-Owned,0,False,0
Capezio Girls Size 9 1/2 Black Dance Tap Shoes Stretch Elastic Band Tele Tone,599,Pre-Owned,685,False,0
Toddler Girl's Tap Dance Shoes 7 N CAPEZIO White Two-hole Elastic Closure VGC,1295,Pre-Owned,500,False,0
PU Leather Tap Shoe Easy Strap for Girls and Boys (Toddler/Little Kid/Big Kid),1599,Brand New,0,False,0
Tap Dance Shoes Women Shoes Leather Black Jazz Step Dance Shoes Clogging Shoes ,5098,Brand New,0,False,0
Art Stone Tap Dancing Shoes Women's 9 M La Mendola T-3 Taps Leather Sole READ,1578,Pre-Owned,925,False,0
DANCE CLASS BLACK MARY JANE TAP DANCING SHOES TODDLER GIRLS SIZE 7.5,1099,Pre-Owned,499,True,0
girls kids size 13 tap dancing shoes childrens black Bloch brand dance shoe,499,Pre-Owned,1260,False,0
Linodes PU Leather Lace Up Tap Shoe Dance Shoes for Women and Men's Dance Shoes,2099,Brand New,0,False,0
New E.B. Smith Toe Taps EB Smith SUPER aluminum alloy 6 sizes Tap Dance Taps,488,New (Other),560,False,0
LEO'S 806W 806 Dancewear Dance CHILD GIRLS/Toddler TAP SHOES TAN 7.5-1.5 & 5M,1215,New (Other),0,False,0
Bloch Dance Women Tap-Flex Black Leather Tap Shoe  Size 7.5 Shock Wave New,4500,New (Other),900,False,0
"NEW Tap dancing shoes, black w laces, read description/photos! FREE shipping!",6500,Brand New,0,False,0
Evolution Beige Tap Shoes  Dance Shoes Size US 7 Without Box,1200,Pre-Owned,1710,False,0
Capezio Girls Youth Size 13.5 M Black Patent Leather Tap Dance Shoes Lace Ties ,1995,Pre-Owned,500,False,0
New# Men Tap Dance Shoes Faux Leather Anti-Slip Soles Durable  Dancing Shoes,3410,New (Other),399,False,0
Bloch Girls Tan Tap Shoes Dance Size 11,499,Pre-Owned,825,False,0
BLOCH Techno Tap Shoes Size 6 1/2  Black Leather Mary Jane Style Dance Clogs ,1195,Pre-Owned,795,False,0
Girls Bloch Tap Shoes Dance Techno Black Snap Size 13 M,1400,Pre-Owned,685,False,0
Tap Shoes Capezio Dance Shoes 443B Tic Tap Toe Black Lace Up Kids Size 2.5,980,Pre-Owned,1710,False,0
Selva Staccato No. 2 Toe Taps NOS,700,New (Other),560,False,0
Dance Shoes CAPEZIO Tele Tone Tap 7M Leather Lot of 2 Pair  Regular & Split Sole,3600,Pre-Owned,1640,False,0
* Vintage - USA - SELVA  Encore - HEEL and TOE TAPS 4 Tap Dancing SHOES - UNUSED,2222,Pre-Owned,500,False,0
Kids Girls Revolution slip on Tap Dancing Shoes Brown SZ 12,2288,Pre-Owned,0,True,0
The Art of TAP Dancing - Mega Mini Kit - Heel & Toe Taps & Booklet - Open Box,499,New (Other),399,True,0
La Mendola Black Patent Flex Tap Dance Shoes Size 7 1/2 M Pre-Owned Never Used,1995,New (Other),2220,False,0
Capezio Tap Jr Footlight 550 Women's Dance Shoes Black Maryjane Size 7.5 M,950,Pre-Owned,1710,False,0
BLOCH SZ 7 1/2 Tap Womens Black Mary Jane Tap Dance Shoes Heel Theater Character,100,Pre-Owned,753,False,0
TAP DANCE EARRINGS  Shiny Silver Dangle Earrings - Post Style  17356-EAR,795,Brand New,0,False,0
"Bloch Black Techno Tap Dance Shoes Girls Size 4, fits 1",1500,Pre-Owned,753,False,0
"Tempo By Leo’s Youth Tap Dancing Shoes, Size 1 Beige Ties",500,Pre-Owned,685,False,0
"Ms. Stomper Size 4.5 W WOMENS Clogging Dance Shoes,With Steven Stomper Taps",4999,Pre-Owned,1575,False,0
"The Art of Tap Dancing - Heel & Toe Taps, Instruction Book and Box",400,New (Other),523,False,0
BLOCH BLACK MARY JANE TAP DANCE SHOES GIRLS CHILDS SIZE 8,890,Pre-Owned,1295,False,0
Bloch Techno Tap 2T/3H Beige Nude Mary Jane Tap Dancing Shoes 6.5/7,700,Pre-Owned,1200,True,0
Dance Shoes Tap Tan Leather Child size 4M Giordano Leo's,1918,Brand New,1299,True,0
Ballroom Tap Dance Shoes Men Black High Aluminum Women Children White Cloesd Toe,5119,Brand New,0,False,0
Shop on eBay,2000,Brand New,,False,0
Unisex New Cowhide Tap Dancing Soft Outsole Youth Kids Adult Dancing Shoes SEDA,4093,New (Other),1999,False,0
Bloch Kids Annie Tyette S0350G Tap Shoe - Patent Black Size 10,1999,Brand New,747,False,0
Women's 7 N Tap Shoes D11,4999,Pre-Owned,0,False,0
Leo Women's Split Sole Jazz Tap Dance Shoe size 7/12,3892,Pre-Owned,1865,False,0
"Ms. Stomper Size 4.5 W WOMENS Clogging Dance Shoes,With Steven Stomper Taps",4999,Pre-Owned,1575,False,0
"The Art of Tap Dancing - Heel & Toe Taps, Instruction Book and Box",400,New (Other),523,False,0
BLOCH BLACK MARY JANE TAP DANCE SHOES GIRLS CHILDS SIZE 8,890,Pre-Owned,1295,False,0
Bloch Techno Tap 2T/3H Beige Nude Mary Jane Tap Dancing Shoes 6.5/7,700,Pre-Owned,1200,True,0
Balera Mary Jane Dance Tap Shoes Size 12 Girls Tan Style B70 Very Nice Condition,995,Pre-Owned,685,False,0
"BeiBest Coat Synthetic Tap Shoes Oxford Dancing for Men, Adults, Black-Size 8",1000,Pre-Owned,995,False,0
"Girl tap dance shoes children's  size 1 (6-7 years) black, USED: GREAT CONDITION",999,Pre-Owned,820,False,0
Bloch Techno Tap Leather Mary Jane Heeled Dance Tap Shoes Women Size 7 Lite Wear,2299,Pre-Owned,955,False,0
Girls Capezio Black Patent Bow Tie Dance Tap Shoes Size 6.5 W Tele Tone Wide,2200,Pre-Owned,1061,False,0
Unisex New Cowhide Tap Dancing Soft Outsole Youth Kids Adult Dancing Shoes Chic,4369,New (Other),1999,False,0
Tap Dance Shoes Bloch black Patton Leather Youth Size 9.5M Techno Tapper,1360,Pre-Owned,998,False,0
Fashion Cowhide Tap Dancing Soft Outsole Kids Adult Unisex Dancing Shoes ,11058,New (Other),0,False,0
Capezio TeleTone TapSonic Tap Dancing Shoes (Sz 5) Style K542,2100,Pre-Owned,1575,False,0
Tan Tap Shoe Bloch Dance Now Style Sz Women’s 6M,1800,Brand New,0,False,0
Capezio TeleTone TapSonic Tap Dancing Shoes (Sz 5.5) Style K542,4500,Brand New,1575,False,0
VTG GREEN LEATHER SCOTTISH DANCE TAP SHOES PR DANSWEAR CENTRE OF SCOTLAND ,2499,Pre-Owned,1710,False,0
Dance Shoes Tap Mary Jane Buckle 6.5M Toddler Dancing Fair 80TC Tan ,1200,Pre-Owned,450,False,0
Bloch Dance Men's Leather Tap Shoe - NEW WITHOUT BOX - SIZE 9.5/U.S.-10,5500,New (Other),1195,True,0
"Capezio Jr. Tyette N625 Tap Shoes, Women's Size 6.5M, Black NEW MSRP $33.50",1172,Brand New,999,False,0
Tap Shoes 12.5 Girls Black ABT Spotlights Dance hook loop youth ,599,Pre-Owned,668,False,0
Mismatched sizes Bloch Girls Tap Dancing Shoes Right 10 1/2 M Left 11 1/2 M ,1299,Pre-Owned,699,False,0
BLOCH TAP DANCE SHOES 323L 323 Ladies Showtapper BLACK NEW retail $47 sz4.5-11.5,2799,New (Other),0,False,0
Theatricals Womens Tap Shoes Black Lace Up Dance Theater 6,1499,Pre-Owned,900,False,0
Tap Shoes Size 10.5 Star Tone dance shoes girls,890,Pre-Owned,800,False,0
Val Tie and Snap Tap Shoe TA35-Child (White) ,2065,Brand New,1575,False,0
Capezio Tele Tone Tap Dancing Shoes Black Girls 11.5,1999,Pre-Owned,851,True,0
Fashion Cowhide Tap Dancing Soft Outsole Kids Adult Unisex Dancing Shoes ,6399,New (Other),0,False,0
Fashion Cowhide Tap Dancing Soft Outsole Kids Adult Unisex Dancing Shoes ,7399,New (Other),0,False,0
vintage  Women's Leather Tap Dance 12057 49001 Shoes  Size 8 B,2369,Pre-Owned,0,False,0
Tap Shoes Toddler Boys Jazz Tap Shoes Black sz 8M Dance Now brand by Bloch,2400,New (Other),0,False,0
Leo's Dancewear Women's Dance Shoes Size 8 M Black Leather Lace Up Flexible Jazz,199,Pre-Owned,1190,False,0
Chance Fashions Tap Dancing Shoes Women's 9.5 Leather Sole White Leo's Taps READ,1857,Pre-Owned,925,False,0
Economy Girl's Size 2.5 Medium (Fits Size 2) White Ribbon Tie Tap Shoes,999,New (Other),799,False,0
BLACK Leather Jazz tap Oxford Dance Shoes #3525 THEY RUN SMALL read description,2249,New (Other),1260,False,0
RARE Vintage Playtoy Industries  Tappy Taps Tap Dancing Shoe Toy Girls 70s 80s,5000,Brand New,0,False,0
Leo Jazz Tap Shoes LS3312L Black Lace Up Size 5.5 M Preowned,1365,Pre-Owned,998,True,0
Tapfit Black Slip-on Tap Dance Exercise Workout Shoes Size Large,3999,Pre-Owned,0,False,0
Capezio Tap Jr Footlight Tan Leather Sole Dance Shoes Size 8 M,1799,Pre-Owned,1125,False,0
Capezio Character Tap Shoes 560 Dance Black Tan Adult New In Box,3999,Brand New,0,False,51
New E.B. Smith Heel Taps EB Smith SUPER aluminum alloy 13 sizes Tap Dance Taps,338,New (Other),560,False,0
Capezio Tic Tap Toe Tap Dance Shoe Beige Lace Up Low Top Round Toe Men's US 6M,2999,Brand New,1710,False,0
Capezio On Stage Encore London Metal Beginners Tap Dance Shoes Shiny Black,2000,Pre-Owned,1125,True,0
Gem Continental Dance Shoe Heel Taps - Size 3 + Dolliwood Toe Taps Sz 5 Lot Set,1195,Pre-Owned,0,False,0
Men’s Dancing Fair Signature #730 Oxford  Tap/ Character (NI) Shoes Size 8.5,2999,Brand New,0,False,0
Black TAP  SHOES TODDLER by Bailey size 9 M Good shape,1495,Pre-Owned,800,False,0
PU Leather Tap Shoe Dance Shoes for Boys and Girls Easy Strap Black Tap Shoes,1089,New (Other),0,False,0
"CLOGGING SHOES, NEW, ALL LEATHER, kids 1-1/2 WHITE SPLIT SOLE WITH BUCK TAPS",8390,Brand New,1050,False,0
Size 6.5 (8M on tag) - SANSHA Women's Black Leather Split Sole Tap Dance Shoes,2030,Pre-Owned,800,False,0
Theatricals Womens Tap Dance Shoes Black Size 8 Lace Up T9500,1800,Pre-Owned,862,False,0
Capezio TeleTone Tap Dance Shoes Girls Black Patent Size 7M,1000,Pre-Owned,900,False,0
Girls Capezio Size 1.5 Tele Tone Tap White Tap Dancing Shoes 1552,799,Pre-Owned,815,True,0
Capezio Womens JR Footlight 550 Black Leather Dance Character Shoe Size 5 N  ,2000,Pre-Owned,778,False,0
BLOCH BLACK TAP DANCING  SHOES LITTLE GIRLS MARY JANES SIZE 10.5 M,900,Pre-Owned,611,False,0
